package,total_downloads
mapr,6059
mapReasy,3601
maps,855145
mapsapi,11124
mapsRinteractive,3797
mapStats,5583
maptools,2136724
maptpx,7546
maptree,32134
mapview,233660
mAr,7960
mar1s,6213
march,6579
marcher,3645
marelac,7541
MareyMap,5068
marg,20429
MargCond,3232
MarginalMediation,3757
margins,45319
marima,5960
marindicators,326
markdown,6855266
marked,8417
MarketMatching,6625
markmyassignment,6321
markophylo,6330
markovchain,50842
MarkowitzR,6481
marl,4609
marmap,17297
marqLevAlg,5544
MARSS,12291
MARX,3872
maSAE,4696
mase,3545
MaskJointDensity,3178
mason,3996
MASS,1540562
Massign,3720
MASSTIMATE,5528
mastif,1792
MAT,5256
MATA,5188
matahari,2770
matchbook,3549
Matching,126606
matchingMarkets,11835
matchingR,6152
MatchIt,94011
MatchIt.mice,2331
MatchLinReg,4173
matchmaker,0
matchMulti,4605
MatchThem,1062
matconv,6588
mateable,3968
mathgraph,6232
mathpix,5188
matie,4892
matlab,68431
matlabr,7346
matlib,66411
MatManlyMix,3757
matpow,5148
matR,4806
Matrix,1165950
Matrix.utils,20011
matrixcalc,362060
MatrixCorrelation,5171
MatrixEQTL,9979
matrixLaplacian,4196
MatrixLDA,3859
MatrixModels,1720139
matrixNormal,3382
matrixpls,6210
matrixProfile,3299
matrixsampling,4306
matrixStats,1413798
matrixStrucTest,1374
matrixTests,6856
matsbyname,4041
matsindf,3275
MatSkew,1775
MATTOOLS,4970
MatTransMix,3295
mau,3626
mauricer,573
MAVE,5002
MAVIS,5359
MAVTgsa,4908
MaXact,5355
maxadjAUC,3230
MaxentVariableSelection,5002
maximin,3956
maxLik,299593
maxlike,25279
maxmatching,3723
MaxMC,2756
maxnet,12298
MaxPro,5487
MaxSkew,4321
maxstat,128529
maxTPR,3457
MazamaCoreUtils,6359
MazamaLocationUtils,475
MazamaSpatialUtils,10021
MazamaWebUtils,3772
mazealls,3296
mazeGen,3818
mazeinda,3230
MBA,42885
mbbefd,6737
MBC,4295
MBCbook,2531
MBCluster.Seq,6369
mbclusterwise,3598
mbend,716
MBESS,74635
mbest,91690
MBHdesign,5175
MBI,4987
mbir,4603
mblm,11710
MBmca,5596
MBNMAdose,1708
MBNMAtime,533
mboost,59723
mboxr,5831
mbrglm,3582
MBSGS,3757
MBSP,3492
mbsts,0
mBvs,4234
mc.heterogeneity,1867
mc2d,66503
MC2toPath,4634
MCAvariants,5771
mcBFtest,2554
mcbiopi,7182
mcc,5236
mcca,4803
mccf1,3354
mcclust,8907
mccmeiv,4114
mccr,4386
MCDA,6702
MCDM,4642
mcemGLM,3330
mcen,3128
mcga,7447
mcgfa,1980
mcgibbsit,6048
mcglm,2827
mcGlobaloptim,7019
mcheatmaps,4449
MChtest,4034
MCI,5186
MCI2,3325
MCL,6797
mclcar,4949
mcll,4857
mclogit,8031
mclust,1492955
mclustcomp,4082
mcmc,148983
MCMC.OTU,4460
MCMC.qpcr,5463
MCMC4Extremes,4822
mcmcabn,3010
mcmcderive,1570
MCMCglmm,71436
MCMCpack,166168
mcmcplots,12163
MCMCprecision,4393
mcmcr,4455
mcmcse,9778
MCMCtreeR,3099
MCMCvis,11387
mcMST,3640
mco,32492
Mcomp,25160
mcompanion,4085
MConjoint,4881
mcp,0
mcPAFit,3793
MCPAN,9761
mcparallelDo,4109
MCPMod,7396
MCPModGeneral,1146
mcprofile,7685
mcr,7538
MCS,5699
MCSim,3263
mcsm,6250
McSpatial,8407
mcStats,2385
mctest,21156
MCTM,4468
md,4244
md.log,3457
mda,283272
mDAG,3434
mdatools,8181
mded,5881
mdendro,3242
MDFS,3912
mdftracks,3737
mdhglm,6724
MDimNormn,4061
mdir.logrank,3192
mdmb,18351
MDMR,4928
mdpeer,3589
MDplot,4402
MDPtoolbox,6956
mds,4318
mdscore,5935
mdsdt,4630
MDSGUI,2564
MDSMap,4795
mdsOpt,8181
MDSPCAShiny,2007
mdsr,12160
mdw,3519
meanr,4746
meanShiftR,5662
meaRtools,3837
measurements,33454
measures,23804
measuRing,5277
meboot,9562
MEclustnet,3642
MED,3459
MedDietCalc,3895
mederrRank,5021
medExtractR,1559
medfate,4288
medflex,6616
mediacloudr,1388
MediaK,3989
Mediana,6305
mediation,61192
medicalrisk,4802
medicare,3743
meditate,263
meditations,3358
MEDITS,167
medmod,3994
MedOr,4896
MEDseq,1357
MedSurvey,2944
meetupapi,3298
mefa,11789
mefa4,9904
Mega2R,4209
MEGENA,4326
meifly,5897
mekko,3602
meltt,5545
melviewr,3419
mem,8194
memapp,8421
meme,6823
memery,5611
memgene,4917
memisc,106498
memnet,2938
memo,4015
memochange,1312
memoise,2228346
memor,3970
memoria,1818
MEMSS,67173
memuse,23564
MendelianRandomization,8401
MEPDF,4093
Mercator,1478
merDeriv,7639
mergedblocks,3081
MergeGUI,4884
mergeTrees,1544
merlin,3254
merror,5267
merTools,23015
MESS,21644
messaging,3373
meta,83891
meta4diag,5185
MetaAnalyser,4550
MetABEL,5807
metaBLUE,3534
metaBMA,20014
metaboGSE,3584
MetabolAnalyze,7502
MetabolicSurv,3257
metabolighteR,328
MetaboList,5338
MetabolomicsBasics,3760
MetaboLouise,3111
MetaboQC,3600
metacart,4091
metacoder,10508
metacom,9812
MetaComp,3846
metacor,7050
MetaCycle,5237
metaDigitise,3465
metadynminer,4251
metadynminer3d,1432
metafolio,4689
metafor,125513
metaforest,4268
metafuse,4282
metagear,6146
metagen,6145
metaheur,3969
MetaheuristicFPA,3599
metaheuristicOpt,5100
MetaIntegrator,6278
MetaLandSim,8321
metaLik,6018
MetaLonDA,4867
metaMA,6005
metamedian,5477
metamer,3473
metamicrobiomeR,910
metamisc,8272
metaMix,4007
metan,0
metansue,5075
metap,84711
MetaPath,4148
MetaPCA,5285
metaplot,5952
metaplotr,3801
metaplus,6034
metapost,1588
metapro,1854
metaRMST,3238
metaRNASeq,5054
metaSDTreg,389
metaSEM,10856
metasens,6468
MetaSKAT,6553
MetaStan,5122
MetaSubtract,4924
metatest,7208
Metatron,4907
MetaUtility,4869
metavcov,4396
metaviz,6429
metawho,1955
meteo,4081
meteoForecast,5875
meteogRam,4737
meteoland,6579
meteor,1247
meteorits,650
meteR,4136
MEtest,2254
MetFns,4911
Meth27QC,4927
MethComp,1786
methcon5,253
MethodCompare,4328
Methplot,4552
MethylCapSig,4435
MetNorm,4800
MeTo,3041
MetProc,3840
metR,7582
Metrics,154379
metricsgraphics,8954
MetricsWeighted,2358
metricTester,4698
metRology,11342
metropolis,0
mets,32140
metScanR,6120
MetSizeR,4784
metsyn,3133
mev,23575
mewAvg,4900
mexhaz,5775
mExplorer,3511
MF,5008
MFAg,4793
mfbvar,3448
MFDFA,3789
mfe,4938
mfGARCH,4473
MFHD,4758
mFilter,34675
MFKnockoffs,3663
mfp,13252
MFPCA,4823
MFT,3990
MfUSampler,5427
mfx,45379
mgarchBEKK,5702
MGBT,538
mgc,3282
mgcv,1239314
mgcViz,9966
MGDrivE,1527
MGL,4775
MGLM,6238
mglmn,4247
mgm,16813
MGMS2,239
mgpd,5402
MGRASTer,5012
MGSDA,4891
mgsub,69323
mGSZ,4341
mgwrsar,3048
MHadaptive,8493
MHCtools,4372
mHG,4074
mHMMbayes,627
mhsmm,10096
mhtboot,3558
MHTcop,3556
MHTdiscrete,4516
MHTmult,3514
MHTrajectoryR,4020
mhurdle,5783
mi,237968
MIAmaxent,5004
micar,5392
mice,588873
miceadds,157740
micEcon,59762
micEconAids,53907
micEconCES,7816
micEconIndex,4696
micEconSNQP,7015
miceFast,3923
micemd,126773
miceMNAR,4009
miceRanger,0
michelRodange,2030
micompr,4440
miCoPTCM,4336
microbats,3971
microbenchmark,344262
MicroDatosEs,6184
microdemic,6472
microhaplot,894
MicroMacroMultilevel,4012
micromap,6886
micromapST,5873
micropan,4898
microplot,6062
microPop,4402
microsamplingDesign,3602
microseq,5979
MicroStrategyR,5378
microsynth,3932
MicSim,8271
MiDA,2533
midas,3604
midasr,9493
midastouch,3899
MIDN,3788
midrangeMCP,4188
MigClim,11768
migest,9649
migration.indices,4735
migui,5440
miic,3973
MIICD,8187
MIIVsem,10168
MILC,4690
miLineage,3797
milr,4007
mime,5951857
mimi,3634
MImix,5314
mimsy,2640
MinBAR,1488
MindOnStats,5796
mineCitrus,2853
mined,3302
minerva,13089
Miney,5119
miniCRAN,34189
miniGUI,5598
minimalRSD,4129
minimap,3950
minimax,6647
minimaxdesign,5122
minimist,4471
Minirand,4071
miniUI,1268428
minMSE,337
minpack.lm,128630
minqa,2034735
minque,5410
MInt,4315
minval,4918
minxent,5071
mipfp,10271
MIPHENO,4964
mipred,1374
miRada,4398
MiRAnorm,3599
MiRKAT,3972
miRNAss,3814
MiRSEA,4052
mirt,84892
mirtCAT,27075
miRtest,4890
mirtjml,4008
misaem,3480
misc3d,155510
miscF,13912
miscFuncs,5738
miscIC,904
misclassGLM,3833
miscor,4095
miscset,6037
miscTools,304950
mise,5729
mispr,3181
MiSPU,4033
misreport,3596
missCompare,2772
missDeaths,4767
missForest,105177
MissingDataGUI,6313
missingHE,2441
missMDA,55773
MissMech,7670
missRanger,7656
missSBM,1764
MiST,5081
mistat,5546
mistr,3506
mistral,5029
MitISEM,5552
mitml,463004
mitools,381927
MittagLeffleR,4803
miWQS,3807
mix,30815
mixAK,7421
MixAll,6313
mixcat,1898
mixchar,3085
mixdir,3652
mixdist,8129
mixedClust,1200
mixedMem,4166
MixedPoisson,4276
MixedPsy,3588
mixedsde,4350
MixedTS,5225
mixEMM,3611
mixexp,8125
MIXFIM,4235
MixfMRI,3071
mixggm,3114
MixGHD,10244
mixKernel,4131
mixl,585
mixlink,3657
mixlm,12365
MixMAP,5032
MixMatrix,1657
mixmeta,3476
mixor,5085
mixPHM,6619
mixR,3903
mixRasch,6794
mixRaschTools,3410
mixreg,6291
MixRF,4106
MixSAL,3153
mixsep,5239
MixSIAR,6726
MixSim,7685
mixsmsn,9686
mixSPE,1777
mixtNB,4321
mixtools,61813
mixtox,4746
mixture,8649
MixtureInf,5147
MixtureRegLTIC,3666
mize,6600
mizer,5481
mkde,4804
MKdescr,622
mkin,11634
MKinfer,372
MKLE,5439
MKmisc,21674
mknapsack,3711
mkssd,5438
ML.MSBD,4159
mlapi,47912
mlbench,485250
mlbgameday,4868
mlbstats,3428
MLCIRTwithin,6100
MLCM,5435
MLDAShiny,2357
mlDNA,4573
mldr,25199
mldr.datasets,16779
MLDS,8218
mle.tools,4306
mleap,4241
mlearning,5285
MLEcens,11375
mlegp,14328
mlergm,5461
mleur,5338
MLeval,853
mlf,3497
mlflow,289947
MLGL,3362
mlgt,4644
mlica2,4913
MLID,3535
mlma,4443
mlmc,3855
MLmetrics,328911
mlmi,1337
MLML2R,3966
mlmm.gwas,2936
mlmmm,5324
MLMOI,0
mlmRev,78256
mlogit,105309
mlogitBMA,6180
mlPhaser,4811
MLPUGS,3886
mlr,184587
mlr3,5013
mlr3db,1834
mlr3filters,1674
mlr3learners,2754
mlr3measures,1456
mlr3misc,7113
mlr3pipelines,1367
mlr3proba,184
mlr3tuning,1377
mlr3verse,381
mlr3viz,0
mlrCPO,5560
mlrMBO,28088
MLRShiny,2536
MLRShiny2,986
mlsjunkgen,3985
mlt,25776
mlt.docreg,8333
mltest,3449
mltools,30134
mlVAR,8951
mlxR,9293
MLZ,3254
MM,5517
MM2S,3325
MM2Sdata,3529
MM4LMM,3901
mma,7449
mmabig,3504
MMAC,3155
mmand,11649
mmap,14016
mmapcharr,6617
mmc,3989
mmcm,5915
MMDai,4115
mmds,5032
MMDvariance,2907
mme,4758
mmeln,5366
MMeM,2907
mmeta,5796
mmetrics,1929
MMLR,2874
mmm,6347
mmm2,4888
mmmgee,3821
MMMS,4490
mmod,13309
mMPA,3657
mmpca,417
mmpf,26032
mmpp,4760
mmppr,3862
mmsample,3512
mmtfa,4061
mmtsne,3632
MMVBVS,206
MMWRweek,5549
mnis,4481
mniw,641
mnj,800
mnlfa,2240
mnlogit,6590
MNLpred,559
MNLR,2718
MNM,6031
mnormpow,5275
mnormt,1279279
MNP,13214
mnreadR,5716
MNS,3970
mobForest,6177
MobileTrigger,1925
mobsim,3644
moc,3602
moc.gapbk,2242
MOCCA,5969
mockery,205738
mockr,27546
mod,1838
mod09nrt,3915
Modalclust,5121
modcmfitr,3034
modeest,76836
modehunt,5614
modelbased,0
Modelcharts,3337
modeldata,867
modeldb,4955
modelDown,2177
Modeler,4701
modelfree,6073
ModelGood,6821
modelgrid,3498
modeLLtest,1508
ModelMap,7812
ModelMetrics,1016737
modelObj,5120
modelplotr,2704
modelr,3076948
modelStudio,1647
modelsummary,2094
modeltools,1452560
modelwordcloud,3642
moderndive,14780
modes,18352
modest,5215
modesto,3422
modEvA,6076
modi,2824
modifiedmk,6480
MODIS,10270
modiscloud,5077
MODISSnow,3667
MODISTools,8920
MODIStsp,9701
modmarg,4223
modMax,4649
modopt.matlab,4226
modQR,4298
ModStatR,704
modTempEff,5342
modTurPoint,3245
moduleColor,5653
modules,8180
modygliani,3745
MOEADr,3754
MoEClust,5433
moezipfR,3648
mogavs,3854
MOJOV,4700
mokken,10657
moko,3624
molaR,5192
MoLE,3952
MOLHD,3529
mombf,11788
momentchi2,5398
moments,315920
momentuHMM,5932
Momocs,8724
momr,3507
MomTrunc,5557
mondate,46904
Mondrian,4209
MonetDB.R,9376
mongolite,103850
monitoR,8070
monkeylearn,5359
monmlp,9473
monographaR,4303
MonoInc,4069
monomvn,17778
MonoPhy,4252
MonoPoly,6086
monoreg,3245
monotonicity,4716
monreg,6172
Monte.Carlo.se,2283
MonteCarlo,10484
moonBook,63252
MoonFinder,2988
mopsocd,5243
MOQA,3561
MOrder,4628
morgenstemning,4634
morpheus,3582
Morpho,13574
morphomap,224
morse,7168
MorseGen,5099
mortAAR,3869
MortalityGaps,3233
MortalityLaws,7027
MortalitySmooth,6710
MortalityTables,3442
MortCast,6175
mortyr,1425
mosaic,214936
mosaicCalc,24933
mosaicCore,142117
mosaicData,139705
mosaicModel,17409
mosmafs,0
MOST,3936
mosum,4176
MoTBFs,1122
MOTE,6074
motmot,2317
motoRneuron,2779
moult,5356
mountainplot,4663
mousetrack,4515
mousetrap,7533
move,16255
movecost,3659
moveHMM,9363
moveVis,8853
moveWindSpeed,4179
movMF,8972
mozzie,3402
mp,4950
mpa,5073
mpath,15338
mpbart,3868
MPBoost,518
MPCI,5074
mpcmp,2796
mpcv,4581
MPDiR,6939
mpe,3621
MPINet,4724
MPkn,3112
MPLikelihoodWB,4105
mplot,78600
MplusAutomation,23320
MplusTrees,1504
mpm,6240
mpmcorrelogram,5355
mpmi,6707
MPN,3529
mpoly,8982
mppa,4842
mppR,3325
mpr,4168
MPR.genotyping,3204
MPS,3750
MPSEM,7298
MPsychoR,4302
mpt,8841
MPTinR,7589
MPTmultiverse,3626
mptools,3648
MPV,34119
Mqrcm,3162
mQTL,6099
mr.raps,3620
mra,6255
mratios,19218
mrbayes,1095
mrbsizeR,4057
MRCE,5471
MRCV,5445
mrds,11883
mreg,4775
mregions,4171
MRFA,3939
MRFcov,3636
mrfDepth,5609
mrfse,1387
mrgsolve,8731
MRH,4816
MRHawkes,3032
mri,4658
mritc,5263
mrMLM,5258
mrMLM.GUI,3745
MRMR,5169
mRMRe,23619
mro,3575
MRPC,3733
mRpostman,1313
MRQoL,4119
MRS,4566
MRsurv,5119
MRTSampleSize,3740
MRwarping,4701
ms.sev,4403
msaenet,6384
msaFACE,3633
msap,5481
msaR,4752
MSbox,4376
msBP,5280
mschart,7793
MSCMT,5130
MScombine,5533
MSCquartets,243
mscstexta4r,5107
mscstts,5863
mscsweblm4r,4972
msda,4478
msde,4104
MsdeParEst,3603
mseapca,4878
MSEtool,4298
MSG,5806
MSGARCH,7622
msgl,6433
MSGLasso,3922
msgpackR,4879
msgps,7599
msgr,325
msigdbr,10152
mSimCC,1692
msir,7060
MSIseq,4203
msltrend,3839
msm,137540
msma,5325
msme,69806
msmtools,4775
MSMwRA,3432
msos,4902
MSPRT,3903
MSQC,5684
mssm,2097
mssqlR,3291
msSurv,5807
MST,5724
mstate,52315
mSTEM,864
mstherm,3456
mstknnclust,3223
mstR,4337
mstrio,4012
msu,3135
MSwM,28967
MTA,3986
mtconnectR,5225
MTDrh,3415
MTE,3616
MTGS,520
mthapower,3750
mtk,4377
MTLR,3883
MtreeRing,5026
MTS,25699
mtsdi,8808
MTSYS,3662
MUACz,549
MUCflights,4962
MuChPoint,3085
muckrock,3503
mudata2,6182
mudens,3093
mudfold,4589
mueRelativeRisk,3131
MuFiCokriging,4860
muhaz,59896
muHVT,2203
muir,4176
MullerPlot,3621
mulset,2562
MultAlloc,4225
multbxxc,420
multcomp,1960339
multcompView,195780
multDM,4799
multdyn,3607
MultEq,5164
multfisher,3683
multgee,10153
multiApply,11496
multiAssetOptions,4397
multiband,4553
MultiBD,3430
multibiplotGUI,5065
multiCA,3726
multicastR,4479
multichull,3921
multicmp,4433
MultiCNVDetect,4413
multiColl,1652
multicolor,5606
multicon,10496
multicool,169697
multicross,1983
multiDimBio,5321
MultiFit,3556
multifluo,3312
multifwf,3873
MultiGHQuad,4159
multigraph,4270
multigroup,6448
MultiJoin,3360
multilaterals,3513
MultiLCIRT,8097
multilevel,30237
multilevelPSA,4669
multilinguer,27
MultiMeta,4802
multimode,5930
multinbmod,4867
multinet,6507
multinets,3612
MultinomialCI,8968
multinomineq,1709
multinomRob,7057
MultiOrd,7005
multipanelfigure,7436
multiPIM,5379
MultipleBubbles,4760
multipleNCC,5170
multiplex,9551
MultiplierDEA,3699
multipol,6380
multiRDPG,3269
multirich,4511
MultiRNG,5824
MultiRobust,3978
multiROC,4628
MultiRR,4334
multiselect,3190
multisensi,5832
MultisiteMediation,3693
MultiSkew,3894
multisom,4232
multispatialCCM,4838
multistate,3393
multistateutils,3691
MultiSV,3896
multitaper,11592
multivariance,6789
MultivariateRandomForest,5362
MultiVarMI,3202
MultiVarSel,4073
multivator,4507
multiviewtest,3180
multiwave,4686
multiway,7657
MultiwayRegression,1699
multiwayvcov,39037
MultNonParam,5635
multxpert,5438
muma,5921
MuMIn,138151
mumm,2994
munfold,6025
munsell,5378788
munsellinterpol,7552
muRL,6334
murphydiagram,4261
muRty,3057
MUS,3807
music,3730
musica,3924
musicNMR,3939
muStat,6349
mut,3415
mutoss,16919
mutossGUI,5492
mutSignatures,3642
MuViCP,3946
MVA,16896
mvabund,14642
MVar,6753
MVar.pt,10165
MVB,4692
MvBinary,4050
mvbutils,8513
mvc,5082
mvcluster,3546
mvctm,4086
mvdalab,4928
mvglmmRank,4908
mvgraphnorm,2049
mvinfluence,23312
MVisAGe,3472
MVLM,4655
mvLSW,5023
mvmesh,5273
mvmeta,20512
mvMISE,3110
mvMonitoring,3382
mvMORPH,8844
MVN,45504
mvna,7757
MVNBayesian,3259
mvnfast,65310
mvngGrAd,5500
mvnmle,16153
mvnormtest,76541
mvnpermute,4615
mvnTest,6213
mvord,7130
mvoutlier,71933
mvp,5359
mvPot,12842
mvProbit,7227
mvprpb,5158
mvQuad,5865
MVR,6494
mvrtn,5375
mvsf,5132
mvShapiroTest,11946
mvSLOUCH,10124
mvst,4157
MVT,6159
mvtmeta,5239
mvtnorm,2031363
mvtsplot,5580
mwa,5086
mwaved,5578
MWLasso,3845
MWRidge,3512
MWright,1386
mwshiny,3343
mxkssd,5389
MXM,13323
My.stepwise,5292
mycobacrvR,4724
mycor,26542
myepisodes,4888
Myrrix,4957
Myrrixjars,4404
myTAI,6924
mztwinreg,4427
n1qn1,6634
N2H4,2510
na.tools,9812
naaccr,292
nabor,57550
NACHO,2278
NADA,62557
nadiv,12493
NAEPprimer,4937
naivebayes,42879
naivereg,3476
nakagami,363
NAM,10623
namedCapture,4483
NameNeedle,3899
namer,4043
namespace,9646
nandb,5235
naniar,84577
nanop,5471
NanoStringNorm,8102
nanostringr,2958
nanotime,107802
NAPPA,4623
naptime,3998
nardl,8956
narray,8652
nasadata,3976
nasapower,6148
nasaweather,9319
nat,8565
nat.nblast,4359
nat.templatebrains,4647
nat.utils,7690
nationwider,916
natserv,26582
natural,3190
naturalsort,8564
NatureSounds,6574
NB,4872
NB.MClust,3446
NBAloveR,2377
nbc4va,3882
NbClust,127222
nbconvertR,4100
NBDdirichlet,5243
NBDesign,3142
NBLDA,2992
nbpMatching,7570
NBPSeq,7467
NBShiny,2192
NBShiny2,693
nc,1213
NCA,5273
nCal,5814
ncappc,5047
ncar,6089
ncbit,27181
ncdf.tools,10785
ncdf4,202926
ncdfgeom,6655
ncdump,4214
nCDunnett,5793
ncf,15331
ncg,4840
ncmeta,34391
NCmisc,25447
ncodeR,3962
nCopula,3442
ncpen,3460
NCSampling,3482
NCSCopula,364
NCutYX,2912
ncvreg,27880
ndjson,61202
ndl,5701
NDP,2836
ndtv,32070
NEArender,3746
nearfar,3891
neariso,5508
neat,4433
NeatMap,6043
neatmaps,4656
neatRanges,1647
needmining,2837
needs,6601
needy,4669
NEff,4781
NegBinBetaBinreg,3582
negenes,6126
neighbr,26775
neldermead,9212
neo4r,4799
neonUtilities,7080
neotoma,11935
nephro,5506
NEpiC,4029
nesRdata,3614
NestedCategBayesImpute,3929
NestedCohort,5657
nestfs,4602
netassoc,5010
netchain,2950
NetCluster,5598
netcoh,3904
netCoin,5074
netcom,3568
NetComp,5379
NetData,7106
netdep,3175
netgen,4823
netgsa,5383
netgwas,5825
NetIndices,6313
netjack,3380
NetLogoR,4488
netmeta,15019
NetMix,1380
NetOrigin,3969
NetPreProc,5074
netrankr,10479
netregR,3454
NetRep,3539
nets,6068
netSEM,3416
NetSimR,1189
netstat,0
NetSwan,10170
NetWeaver,3940
network,319328
networkABC,2689
NetworkChange,4957
NetworkComparisonTest,10958
networkD3,167632
NetworkDistance,4346
networkDynamic,58875
networkDynamicData,13978
NetworkExtinction,3686
networkGen,3541
NetworkInference,5076
networkR,3861
networkreporting,4716
NetworkRiskMeasures,5275
NetworkSim,2850
networksis,15876
networkTomography,5491
NetworkToolbox,17151
networktools,11199
networktree,4332
neural,6815
neuralnet,213081
NeuralNetTools,46878
NeuralSens,3702
neurobase,10463
neuroblastoma,4504
neurohcp,3837
neuroim,11438
neuropsychology,4815
neuRosim,5361
neutralitytestr,3210
neverhpfilter,3816
Newdistns,6122
NewmanOmics,1461
newsanchor,3789
newsmap,6279
newTestSurvRec,3247
nFactors,60666
nFCA,4599
NFP,3748
NFWdist,3070
NGBVS,408
ngram,18856
ngramrr,16316
ngspatial,7659
NGSSEML,0
ngstk,4070
NHANES,35066
nhanesA,6684
nhdplusTools,1707
nhdR,3424
nhds,2536
NHEMOtree,4664
NHLData,3869
nhlscrape,0
nhm,680
NHMM,1927
NHMSAR,5312
NHPoisson,7105
NHSRdatasets,1776
nhstplot,3644
nice,3099
nicheROVER,4871
NightDay,5431
nilde,4175
nima,4617
nimble,18641
nimbleEcology,795
nipals,6490
NipponMap,5006
NIPTeR,3730
NIRStat,3246
NISTnls,6551
NISTunits,27819
NITPicker,3903
nitrcbot,3234
NitrogenUptake2016,3279
nivm,3899
nlaR,3269
NlcOptim,14608
nlcv,3930
nleqslv,107128
nlgeocoder,3113
NlinTS,5940
nlirms,3165
nlist,0
nlme,1121694
nlmeODE,7329
nlmeU,6818
nlmixr,5696
NLMR,6810
nlmrt,7298
nlMS,1733
nloptr,2383058
NLP,491911
NLPclient,304
nlpred,799
NLPutils,5266
nlraa,0
nlreg,18176
NLRoot,6034
nlrr,3885
nlrx,3466
nls.multstart,4340
nls2,18212
nlsem,6229
nlshelper,4251
nlshrink,4282
nlsMicrobio,5293
nlsmsn,5232
nlsr,6211
nlsrk,3593
nlstimedist,3396
nlstools,19925
NlsyLinks,4916
nlt,5700
nltm,1998
nlts,6283
nLTT,7388
nlWaldTest,8447
nmadb,2332
nmaINLA,4028
NMAoutlier,2894
nmathresh,3768
NMF,94992
nmfem,4212
nmfgpu4R,3814
NMFN,5461
NMI,4275
Nmisc,3377
nmixgof,3107
NMOF,17572
nmslibR,3464
NMVANOVA,896
nmw,3991
nna,3240
nnet,261844
nnetpredint,19837
nnfor,15774
nngeo,9534
nnlasso,4792
NNLM,4890
nnls,83916
NNMIS,4308
NNS,12013
NNTbiomarker,4355
nnTensor,5106
noaaoceans,3169
noaastormevents,3030
noctua,983
nodbi,4076
nodeHarvest,21654
nofrills,3688
noia,5631
noise,3550
NoiseFiltersR,4423
noisyCE2,1174
nomclust,4479
NominalLogisticBiplot,5834
nomisr,4273
nomnoml,2083
nomogramEx,4499
nomogramFormula,1230
NonCompart,7214
noncompliance,3990
noncomplyR,3443
nonet,3376
nonlinearICP,3654
nonlinearTseries,14496
nonmem2R,4960
nonmemica,4813
nonneg.cg,3952
nonnest2,32626
NonNorMvtDist,1452
nonpar,6352
nonparaeff,6657
Nonpareil,4325
NonpModelCheck,4998
NonProbEst,2311
nontarget,5360
nontargetData,4362
nopaco,5247
nopp,4979
nor1mix,53550
nord,3749
nordklimdata1,4079
norm,16119
norm2,4105
NORMA,3677
NormalBetaPrime,3410
NormalGamma,5612
NormalizeMets,4210
NormalLaplace,5908
normalp,8963
normalr,6039
NormExpression,3267
NormPsy,5174
NORMT3,6540
normtest,26434
normwhn.test,6067
norris,3731
NORTARA,4397
nortest,546815
nortestARMA,4552
nos,3464
nose,5006
nosoi,0
NostalgiR,4142
not,4192
notifyme,3944
notifyR,5020
nowcasting,5880
noweb,5520
Nozzle.R1,11182
np,101570
nparACT,4781
nparcomp,13485
nparLD,7212
nparMD,3139
nparsurv,3484
NPBayesImputeCat,2995
npbr,5244
NPC,4626
NPCD,6008
NPCirc,5521
npcopTest,3749
npcp,6664
npcure,2209
npExact,3070
NPflow,5584
nph,1158
NPHazardRate,2665
NPHMC,5475
npIntFactRep,4599
nplplot,5698
nplr,6558
npmlda,3422
NPMLEcmprsk,5690
NPMLENCC,1677
npmlreg,7565
NPMOD,3562
npmr,4916
npmv,6263
NPMVCP,4823
npordtests,3303
NPP,1756
nppbib,5710
npphen,3739
npreg,2158
npregfast,4650
nprobust,4791
nproc,5023
npROCRegression,4266
nprotreg,3240
NPS,79986
npsf,6615
NPsimex,4957
npsm,6885
npsp,5968
npsr,3107
npst,6106
npsurv,248465
npsurvSS,285
nptest,2438
nricens,5963
nsapi,3190
nsarfima,954
nscancor,4612
NScluster,5858
nse,5797
nse2r,321
nseval,3108
nsga2R,5841
nsga3,2942
nsgp,4226
NSM3,10879
NSO1212,2506
nspmix,3862
nsprcomp,7643
nsRFA,10204
nsROC,3779
nsrr,3100
NST,1973
NSUM,4471
NTS,4257
nucim,3949
NUCOMBog,4264
nullabor,8686
numbers,61259
numbersBR,3263
numDeriv,1763990
Numero,5814
numform,5277
numGen,3685
numKM,3446
numOSL,6215
NutrienTrackeR,2826
nutriNetwork,2127
nutshell,13089
nutshell.audioscrobbler,10240
nutshell.bbdb,10327
nvctr,2651
nVennR,4347
nvmix,3295
nws,23925
nycflights13,426442
nzelect,3940
nzilbb.labbcat,3213
nzpullover,3751
oaColors,4194
oai,26643
OAIHarvester,21679
oak,3253
oaPlots,3996
oaqc,4789
Oarray,6746
oasis,4126
OasisR,5342
oaxaca,6588
obAnalytics,4887
obfuscatoR,1344
objectProperties,8291
objectremover,2860
objectSignals,8826
obliclus,4726
obliqueRF,7198
obliqueRSF,2867
OBMbpkg,3843
OBRE,3482
obs.agree,4768
Observation,3353
observer,3630
OBsMD,5835
obsSens,5326
OCA,3703
occ,5332
oce,29877
oceanis,2966
oceanmap,6585
OceanView,22217
oceanwaves,782
ocedata,7039
ockc,3467
oclust,1149
OCNet,161
ocomposition,4074
ocp,3590
OData,4659
ODB,5295
odbc,423259
odds.converter,4737
odds.n.ends,3546
oddsratio,12724
oddstream,240
